Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
GO_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	1082	0.48148	0.98102	1	0.51852	0.01998	0.10318	0.36616	0.026973	0.30139	561	0.35304	0.11988	0.83803	521	0.3803	0.072927	0.33832
GO_POSITIVE_REGULATION_OF_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	24	0.41059	0.25375	1	0.58941	0.74725	0.91849	0.38803	0.54645	0.81729	14	0.32219	0.3037	0.95895	10	0.48021	0.81119	0.92746
GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION	1645	0.474	0.95704	1	0.526	0.043956	0.17332	0.38817	0.8022	0.93205	874	0.37528	0.78621	1	771	0.40279	0.63337	0.82983
GO_NEUROMUSCULAR_PROCESS_CONTROLLING_BALANCE	49	0.50445	0.80719	1	0.49555	0.19381	0.42309	0.37692	0.44056	0.77368	25	0.39811	0.7003	1	24	0.35486	0.23177	0.55085
GO_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	28	0.45041	0.42657	1	0.54959	0.57443	0.79829	0.3391	0.22777	0.61723	15	0.2906	0.15485	0.88214	13	0.39507	0.47353	0.73584
GO_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_REGULATION_OF_THE_RELEASE_OF_SEQUESTERED_CALCIUM_ION	19	0.5078	0.73526	1	0.4922	0.26573	0.51097	0.46017	0.86713	0.95402	10	0.50197	0.92208	1	9	0.41371	0.54945	0.78595
GO_NEGATIVE_REGULATION_OF_ORGANELLE_ASSEMBLY	22	0.47202	0.57343	1	0.52798	0.42757	0.67643	0.36709	0.41658	0.76205	11	0.31113	0.28771	0.95895	11	0.42305	0.58541	0.80631
GO_RESPONSE_TO_INTERFERON_BETA	20	0.41294	0.29471	1	0.58706	0.70629	0.89697	0.32943	0.21778	0.60607	11	0.23209	0.081918	0.78755	9	0.44839	0.67832	0.85806
GO_REGULATION_OF_ORGAN_FORMATION	32	0.52396	0.83816	1	0.47604	0.16284	0.38464	0.38392	0.51149	0.80531	15	0.39397	0.62637	1	17	0.37506	0.37762	0.67178
GO_FOREBRAIN_DEVELOPMENT	345	0.46992	0.7033	1	0.53008	0.2977	0.54911	0.36633	0.18182	0.57202	182	0.34255	0.12587	0.84004	162	0.38914	0.35664	0.65905
GO_RHODOPSIN_MEDIATED_SIGNALING_PATHWAY	14	0.41857	0.33966	1	0.58143	0.66134	0.86285	0.34682	0.33367	0.70956	8	0.28596	0.21678	0.95731	6	0.42796	0.6004	0.81306
GO_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	92	0.48851	0.77922	1	0.51149	0.22178	0.45865	0.33685	0.066933	0.42296	49	0.35588	0.40959	1	43	0.31516	0.026973	0.20519
GO_REGULATION_OF_MESONEPHROS_DEVELOPMENT	26	0.43516	0.36464	1	0.56484	0.63636	0.84645	0.30949	0.13487	0.52113	15	0.28917	0.15085	0.88201	11	0.3372	0.25075	0.56623
GO_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS	989	0.50931	1	1	0.49069	0.000999	0.013594	0.37217	0.15485	0.54214	487	0.38141	0.83816	1	502	0.3632	0.006993	0.10037
GO_REGULATION_OF_CHROMATIN_BINDING	16	0.44287	0.38761	1	0.55713	0.61339	0.8278	0.46094	0.86613	0.95402	10	0.47734	0.88711	1	6	0.43361	0.61738	0.82151
GO_STEM_CELL_PROLIFERATION	59	0.41563	0.16583	1	0.58437	0.83516	0.97674	0.28428	0.005994	0.16213	37	0.29483	0.063936	0.74737	22	0.26655	0.016983	0.1641
GO_NAD_METABOLIC_PROCESS	48	0.55692	0.97403	1	0.44308	0.026973	0.12702	0.2978	0.02997	0.31208	22	0.35816	0.42557	1	26	0.24674	0.005994	0.093604
GO_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY	10	0.36673	0.22078	1	0.63327	0.78022	0.94307	0.56663	0.97103	0.98897	8	0.56255	0.95804	1	2	0.58291	0.77423	0.91031
GO_PROTEIN_LOCALIZATION_TO_LYSOSOME	17	0.57834	0.92807	1	0.42166	0.072927	0.23735	0.39659	0.59041	0.84241	6	0.36713	0.52647	1	11	0.41267	0.55644	0.78835
GO_MRNA_MODIFICATION	10	0.45797	0.5015	1	0.54203	0.4995	0.74131	0.34414	0.36663	0.73063	6	0.3834	0.57243	1	4	0.28524	0.24176	0.55786
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNOGLOBULINS	26	0.36264	0.078921	0.78496	0.63736	0.92208	1	0.50029	0.97502	0.9902	15	0.32883	0.30669	0.95895	11	0.7341	1	1
GO_ERBB2_SIGNALING_PATHWAY	38	0.48779	0.68232	1	0.51221	0.31868	0.57072	0.30636	0.071928	0.43118	19	0.28195	0.11189	0.82972	19	0.33078	0.18082	0.49533
GO_AMEBOIDAL_TYPE_CELL_MIGRATION	148	0.52176	0.99101	1	0.47824	0.00999	0.065848	0.34046	0.050949	0.38833	65	0.29869	0.034965	0.64301	83	0.37317	0.22677	0.54482
GO_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION	12	0.68999	0.99301	1	0.31001	0.007992	0.056453	0.45261	0.78621	0.92412	3	0.66516	0.94206	1	9	0.38175	0.43057	0.70856
GO_SPINAL_CORD_MOTOR_NEURON_DIFFERENTIATION	34	0.46111	0.5015	1	0.53889	0.4995	0.74131	0.44413	0.87712	0.95883	18	0.40156	0.68831	1	16	0.49203	0.88112	0.95967
GO_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	478	0.60452	1	1	0.39548	0.000999	0.013594	0.30807	0.000999	0.062416	179	0.35524	0.27972	0.95895	299	0.27983	0.000999	0.030556
GO_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	115	0.52454	0.97602	1	0.47546	0.024975	0.12082	0.38352	0.54246	0.8165	57	0.42763	0.91508	1	58	0.34018	0.06993	0.33099
GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	103	0.53733	0.98402	1	0.46267	0.016983	0.094053	0.35445	0.17383	0.56079	46	0.36085	0.42557	1	57	0.34928	0.11588	0.40436
GO_DICARBOXYLIC_ACID_METABOLIC_PROCESS	97	0.63692	1	1	0.36308	0.000999	0.013594	0.32665	0.042957	0.36575	35	0.4464	0.92907	1	62	0.25905	0.000999	0.030556
GO_NEGATIVE_REGULATION_OF_ASTROCYTE_DIFFERENTIATION	13	0.62513	0.96204	1	0.37487	0.038961	0.16107	0.49462	0.87213	0.95634	4	0.58541	0.90709	1	9	0.45426	0.70529	0.87228
GO_POSITIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	96	0.53595	0.98102	1	0.46405	0.01998	0.10318	0.39239	0.5994	0.84632	46	0.44099	0.94206	1	50	0.34768	0.13087	0.42708
GO_REGULATION_OF_ENERGY_HOMEOSTASIS	17	0.49323	0.65435	1	0.50677	0.34665	0.59998	0.40556	0.63337	0.85816	9	0.42579	0.7013	1	8	0.3828	0.43956	0.71304
GO_REGULATION_OF_MEMBRANE_POTENTIAL	323	0.48034	0.86314	1	0.51966	0.13786	0.34946	0.36459	0.16184	0.54594	172	0.36646	0.4995	1	151	0.36246	0.056943	0.30464
GO_POSITIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	27	0.39705	0.18282	1	0.60295	0.81818	0.96889	0.29863	0.068931	0.42706	17	0.27952	0.12288	0.84004	10	0.3311	0.25175	0.56647
GO_PEPTIDYL_PROLINE_HYDROXYLATION	10	0.52437	0.73526	1	0.47563	0.26573	0.51097	0.28629	0.16783	0.5556	5	0.33504	0.41858	1	5	0.23754	0.13686	0.43794
GO_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS	66	0.60637	1	1	0.39363	0.000999	0.013594	0.37812	0.5045	0.80213	25	0.45995	0.92807	1	41	0.32823	0.062937	0.31937
GO_NEGATIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	40	0.57124	0.97303	1	0.42876	0.027972	0.12993	0.33752	0.17283	0.56079	15	0.30667	0.22178	0.95731	25	0.35602	0.24575	0.56092
GO_ESTABLISHMENT_OF_LOCALIZATION_BY_MOVEMENT_ALONG_MICROTUBULE	90	0.48711	0.75624	1	0.51289	0.24476	0.48688	0.40763	0.77123	0.91938	46	0.39529	0.7043	1	44	0.42054	0.65834	0.84459
GO_AMINO_ACID_BETAINE_TRANSPORT	14	0.59707	0.93307	1	0.40293	0.067932	0.22658	0.31902	0.21079	0.60185	5	0.31843	0.37163	0.98537	9	0.31935	0.22078	0.54127
GO_AMMONIUM_TRANSMEMBRANE_TRANSPORT	24	0.59712	0.98302	1	0.40288	0.017982	0.097278	0.40362	0.63936	0.86054	10	0.51742	0.94805	1	14	0.32233	0.17882	0.49198
GO_REGULATION_OF_GROWTH	612	0.49783	0.999	1	0.50217	0.001998	0.022784	0.36872	0.13686	0.52293	304	0.36021	0.31968	0.96317	308	0.37712	0.094905	0.37314
GO_CATION_TRANSPORT	742	0.4851	0.99201	1	0.5149	0.008991	0.061266	0.36449	0.063936	0.41832	393	0.37193	0.57443	1	349	0.35612	0.001998	0.046393
GO_GABAERGIC_NEURON_DIFFERENTIATION	14	0.43597	0.41658	1	0.56403	0.58442	0.80637	0.27974	0.10589	0.48477	9	0.3402	0.3966	0.99558	5	0.1709	0.051948	0.28871
GO_MACROAUTOPHAGY	260	0.47504	0.75824	1	0.52496	0.24276	0.48551	0.33708	0.006993	0.1733	139	0.33332	0.090909	0.80971	121	0.3414	0.021978	0.18461
GO_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_DEHYDROGENASE	18	0.84136	1	1	0.15864	0.000999	0.013594	0.19169	0.003996	0.13849	2	0.43482	0.63736	1	16	0.1613	0.000999	0.030556
GO_MEMBRANE_DOCKING	65	0.47746	0.66434	1	0.52254	0.33666	0.58774	0.39917	0.7013	0.8955	32	0.344	0.31369	0.95895	33	0.45267	0.83616	0.93907
GO_EXCITATORY_POSTSYNAPTIC_POTENTIAL	25	0.51095	0.75824	1	0.48905	0.24276	0.48551	0.41289	0.70629	0.89723	11	0.35773	0.46753	1	14	0.45624	0.73027	0.88879
GO_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	64	0.57882	0.997	1	0.42118	0.003996	0.034622	0.36571	0.34865	0.72171	26	0.41335	0.78022	1	38	0.33312	0.1009	0.38182
GO_REGULATION_OF_NUCLEASE_ACTIVITY	23	0.34796	0.050949	0.61751	0.65204	0.95005	1	0.28642	0.068931	0.42706	16	0.26856	0.087912	0.80419	7	0.32725	0.26773	0.58263
GO_RESPONSE_TO_INORGANIC_SUBSTANCE	463	0.5427	1	1	0.4573	0.000999	0.013594	0.34776	0.008991	0.19268	209	0.37214	0.5974	1	254	0.3277	0.000999	0.030556
GO_NEGATIVE_REGULATION_OF_HISTONE_ACETYLATION	15	0.50119	0.68831	1	0.49881	0.31269	0.56362	0.33157	0.25774	0.64559	8	0.37558	0.50949	1	7	0.28128	0.15784	0.46452
GO_PHAGOLYSOSOME_ASSEMBLY	10	0.55541	0.82517	1	0.44459	0.17582	0.40018	0.44121	0.71429	0.90093	4	0.44003	0.66533	1	6	0.442	0.64635	0.83818
GO_MODULATION_BY_SYMBIONT_OF_HOST_CELLULAR_PROCESS	28	0.45045	0.42657	1	0.54955	0.57443	0.79829	0.35623	0.35165	0.72352	15	0.30665	0.22178	0.95731	13	0.41344	0.54645	0.78584
GO_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT	448	0.51713	1	1	0.48287	0.000999	0.013594	0.37416	0.31169	0.6934	214	0.38077	0.72228	1	234	0.36812	0.055944	0.30221
GO_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	326	0.59874	1	1	0.40126	0.000999	0.013594	0.31367	0.000999	0.062416	123	0.35219	0.2957	0.95895	203	0.29034	0.000999	0.030556
GO_REGULATION_OF_ASTROCYTE_DIFFERENTIATION	27	0.56398	0.94505	1	0.43602	0.055944	0.20078	0.40267	0.64136	0.86162	12	0.47196	0.87013	1	15	0.34724	0.26673	0.58188
GO_REGULATION_OF_HYDROGEN_PEROXIDE_INDUCED_CELL_DEATH	17	0.63159	0.98302	1	0.36841	0.017982	0.097278	0.28172	0.0999	0.47754	7	0.44739	0.77822	1	10	0.16575	0.006993	0.10037
GO_ADP_METABOLIC_PROCESS	43	0.50071	0.78222	1	0.49929	0.21878	0.45457	0.33143	0.13986	0.52652	24	0.40235	0.6993	1	19	0.24185	0.010989	0.12593
GO_POSITIVE_REGULATION_OF_CELL_PROLIFERATION	774	0.4721	0.84615	1	0.5279	0.15485	0.37576	0.36891	0.10589	0.48477	415	0.35953	0.29071	0.95895	358	0.37802	0.093906	0.37218
GO_REGULATION_OF_SODIUM_ION_TRANSPORT	74	0.45008	0.4006	1	0.54992	0.6004	0.8195	0.38826	0.58641	0.83976	45	0.41492	0.85814	1	29	0.34688	0.18681	0.50643
GO_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	57	0.3756	0.028971	0.44012	0.6244	0.97203	1	0.35283	0.23377	0.62169	38	0.32802	0.19381	0.93061	19	0.40243	0.52348	0.76977
GO_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	37	0.47983	0.62737	1	0.52017	0.37363	0.62615	0.3992	0.62837	0.8561	18	0.34106	0.36464	0.9842	19	0.45428	0.76124	0.9056
GO_HISTONE_DEUBIQUITINATION	21	0.38673	0.15485	1	0.61327	0.84615	0.98286	0.44644	0.81818	0.93422	13	0.36991	0.53447	1	8	0.57079	0.93207	0.97886
GO_GLUCOSAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	25	0.423	0.27972	1	0.577	0.72128	0.90743	0.28568	0.04995	0.38535	16	0.32162	0.27672	0.95895	9	0.22178	0.044955	0.27089
GO_ORGANIC_ACID_TRANSPORT	248	0.52072	0.998	1	0.47928	0.002997	0.029348	0.33892	0.013986	0.25017	120	0.3597	0.36763	0.9842	128	0.31944	0.001998	0.046393
GO_FOREBRAIN_REGIONALIZATION	23	0.43966	0.3956	1	0.56034	0.60539	0.82101	0.43028	0.76623	0.91926	13	0.38927	0.62338	1	10	0.4836	0.81918	0.93054
GO_FOREBRAIN_GENERATION_OF_NEURONS	64	0.44118	0.33966	1	0.55882	0.66134	0.86285	0.37648	0.47253	0.78654	38	0.37586	0.55544	1	26	0.37738	0.38561	0.67718
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	26	0.51162	0.76623	1	0.48838	0.23477	0.47467	0.35628	0.35365	0.72494	14	0.42383	0.78222	1	12	0.27746	0.07992	0.35233
GO_PANCREAS_DEVELOPMENT	70	0.48171	0.71728	1	0.51829	0.28372	0.53171	0.39282	0.61938	0.85328	37	0.39104	0.68332	1	33	0.39482	0.45954	0.72814
GO_LEUKOCYTE_CHEMOTAXIS	113	0.52103	0.96903	1	0.47897	0.031968	0.14238	0.41752	0.87313	0.95634	55	0.44484	0.97203	1	58	0.39162	0.45554	0.72414
GO_GLUCOSE_6_PHOSPHATE_METABOLIC_PROCESS	21	0.37799	0.13187	1	0.62201	0.86913	0.9965	0.23015	0.006993	0.1733	14	0.2396	0.057942	0.73378	7	0.21125	0.03996	0.2561
GO_MITOCHONDRIAL_TRANSMEMBRANE_TRANSPORT	52	0.47692	0.63437	1	0.52308	0.36663	0.61981	0.40734	0.73726	0.90847	27	0.38484	0.6014	1	25	0.43165	0.69131	0.86365
GO_NUCLEAR_PORE_ORGANIZATION	14	0.4806	0.6024	1	0.5194	0.3986	0.65151	0.58196	0.99101	0.99572	7	0.54316	0.94206	1	7	0.62077	0.96903	0.99575
GO_CELLULAR_RESPONSE_TO_NITRIC_OXIDE	15	0.46096	0.48851	1	0.53904	0.51249	0.75104	0.42561	0.71029	0.89947	9	0.45627	0.79021	1	6	0.37962	0.47453	0.73636
GO_INTRA_S_DNA_DAMAGE_CHECKPOINT	11	0.32668	0.097902	0.87559	0.67332	0.9031	1	0.37352	0.46054	0.77975	8	0.33098	0.35564	0.97933	3	0.48694	0.67832	0.85806
GO_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	222	0.50988	0.98402	1	0.49012	0.016983	0.094053	0.37066	0.27173	0.65368	107	0.36763	0.47153	1	115	0.37347	0.18681	0.50643
GO_HISTONE_H3_K9_MODIFICATION	14	0.49188	0.64735	1	0.50812	0.35365	0.60641	0.29086	0.13087	0.51557	8	0.36529	0.47552	1	6	0.19163	0.050949	0.28785
GO_RESPONSE_TO_INTERFERON_ALPHA	20	0.5634	0.90509	1	0.4366	0.095904	0.28118	0.28992	0.092907	0.47101	9	0.35192	0.43956	1	11	0.2392	0.03996	0.2561
GO_NEGATIVE_REGULATION_OF_TRANSLATIONAL_INITIATION	20	0.42728	0.35265	1	0.57272	0.64835	0.857	0.31362	0.16484	0.55102	13	0.36014	0.48951	1	7	0.22723	0.055944	0.30221
GO_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	46	0.50657	0.81818	1	0.49343	0.18282	0.40958	0.46562	0.95604	0.98308	22	0.45507	0.9031	1	24	0.4753	0.88112	0.95967
GO_CARDIAC_CONDUCTION_SYSTEM_DEVELOPMENT	12	0.55088	0.83117	1	0.44912	0.16983	0.39116	0.36417	0.43556	0.76948	5	0.35911	0.49151	1	7	0.36779	0.38961	0.67962
GO_REGULATION_OF_GLOMERULAR_FILTRATION	12	0.46314	0.52048	1	0.53686	0.48052	0.72577	0.41698	0.65335	0.86748	8	0.50744	0.89211	1	4	0.23607	0.13886	0.44115
GO_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	85	0.59513	1	1	0.40487	0.000999	0.013594	0.38225	0.53746	0.81511	29	0.37351	0.54146	1	56	0.38677	0.3976	0.68401
GO_CYTOCHROME_COMPLEX_ASSEMBLY	15	0.64088	0.98501	1	0.35912	0.015984	0.090788	0.31328	0.18482	0.57372	4	0.2407	0.22078	0.95731	11	0.33968	0.25874	0.5729
GO_RESPONSE_TO_METAL_ION	320	0.55338	1	1	0.44662	0.000999	0.013594	0.35022	0.033966	0.33409	140	0.3794	0.67133	1	180	0.32752	0.000999	0.030556
GO_CELL_SUBSTRATE_ADHESION	160	0.52139	0.99201	1	0.47861	0.008991	0.061266	0.38478	0.54046	0.81559	78	0.41288	0.8991	1	82	0.35805	0.11189	0.4005
GO_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH	83	0.46911	0.62438	1	0.53089	0.37662	0.62903	0.37465	0.42158	0.76363	45	0.36631	0.47053	1	38	0.38453	0.38661	0.67718
GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	417	0.54053	1	1	0.45947	0.000999	0.013594	0.37275	0.26274	0.6484	188	0.39426	0.87113	1	229	0.3551	0.014985	0.15601
GO_ENDOCARDIAL_CUSHION_FORMATION	15	0.53989	0.82118	1	0.46011	0.17982	0.40533	0.44666	0.77922	0.92177	6	0.40804	0.65135	1	9	0.47241	0.76024	0.90514
GO_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION	11	0.41165	0.2967	1	0.58835	0.7043	0.89597	0.38972	0.53646	0.81415	8	0.45895	0.78621	1	3	0.20509	0.15285	0.45833
GO_ORGANIC_HYDROXY_COMPOUND_TRANSPORT	150	0.59621	1	1	0.40379	0.000999	0.013594	0.35247	0.12188	0.50957	63	0.45822	0.98801	1	87	0.2759	0.000999	0.030556
GO_MITOCHONDRIAL_CALCIUM_ION_HOMEOSTASIS	11	0.47357	0.51948	1	0.52643	0.48152	0.72629	0.30826	0.20679	0.59761	6	0.31745	0.36164	0.9842	5	0.29724	0.26773	0.58263
GO_REPLACEMENT_OSSIFICATION	25	0.50497	0.73227	1	0.49503	0.26873	0.5145	0.36842	0.41459	0.75965	11	0.29358	0.22178	0.95731	14	0.42722	0.60539	0.81559
GO_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS	298	0.46992	0.6973	1	0.53008	0.3037	0.55395	0.40341	0.88312	0.95994	158	0.38066	0.67532	1	140	0.42909	0.86713	0.95404
GO_WOUND_HEALING	435	0.54949	1	1	0.45051	0.000999	0.013594	0.3581	0.053946	0.39554	196	0.39754	0.88611	1	239	0.32576	0.000999	0.030556
GO_MITOTIC_CELL_CYCLE_ARREST	12	0.65884	0.98302	1	0.34116	0.017982	0.097278	0.46257	0.81319	0.93386	3	0.56051	0.84815	1	9	0.42993	0.60739	0.81655
GO_HEXOSE_CATABOLIC_PROCESS	45	0.50718	0.81119	1	0.49282	0.18981	0.4187	0.32434	0.11688	0.50437	24	0.38003	0.56144	1	21	0.26068	0.014985	0.15601
GO_GLUTAMINE_METABOLIC_PROCESS	22	0.5092	0.75125	1	0.4908	0.24975	0.49371	0.45739	0.86613	0.95402	10	0.42337	0.74426	1	12	0.48574	0.8042	0.92423
GO_RESPONSE_TO_NERVE_GROWTH_FACTOR	37	0.50678	0.78721	1	0.49322	0.21379	0.44713	0.40752	0.69131	0.88914	17	0.37	0.52647	1	20	0.43941	0.73027	0.88879
GO_NEGATIVE_REGULATION_OF_TELOMERASE_ACTIVITY	14	0.32755	0.07992	0.78783	0.67245	0.92108	1	0.25572	0.063936	0.41832	9	0.15287	0.007992	0.38087	5	0.44086	0.63936	0.83301
GO_RNA_PROCESSING	781	0.36784	0.000999	0.053392	0.63216	1	1	0.36883	0.1009	0.47973	519	0.32623	0.002997	0.25062	262	0.45321	0.996	1
GO_REGULATION_OF_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	13	0.28223	0.031968	0.46957	0.71777	0.96903	1	0.32997	0.27972	0.66178	9	0.20153	0.034965	0.64301	4	0.61895	0.90509	0.96959
GO_POSITIVE_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS	17	0.61058	0.96903	1	0.38942	0.031968	0.14238	0.47125	0.8961	0.96525	5	0.4771	0.78621	1	12	0.46881	0.75325	0.9019
GO_SYNAPTIC_VESICLE_CYCLE	86	0.48216	0.73227	1	0.51784	0.26873	0.5145	0.34617	0.12887	0.51438	45	0.34113	0.27672	0.95895	41	0.3517	0.17582	0.48736
GO_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS	502	0.5099	0.999	1	0.4901	0.001998	0.022784	0.37546	0.32967	0.70682	246	0.38296	0.7972	1	256	0.36825	0.063936	0.32004
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_1_SECRETION	24	0.36211	0.074925	0.76582	0.63789	0.92607	1	0.34274	0.27373	0.65529	17	0.34138	0.38861	0.99384	7	0.34603	0.32168	0.6321
GO_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	54	0.54093	0.96104	1	0.45907	0.03996	0.16383	0.32862	0.1039	0.48311	24	0.33679	0.2957	0.95895	30	0.32209	0.084915	0.35969
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	131	0.38417	0.006993	0.20819	0.61583	0.99401	1	0.36961	0.3047	0.68506	89	0.36557	0.48152	1	42	0.37819	0.31768	0.62954
GO_PSEUDOURIDINE_SYNTHESIS	17	0.35998	0.12587	0.99355	0.64002	0.87512	1	0.26039	0.055944	0.39707	11	0.21209	0.04995	0.70258	6	0.34896	0.38062	0.67306
GO_CELLULAR_PROTEIN_COMPLEX_ASSEMBLY	317	0.46554	0.61139	1	0.53446	0.38961	0.64202	0.37857	0.43157	0.76916	168	0.34869	0.16883	0.90919	149	0.41226	0.68531	0.86007
GO_DEFENSE_RESPONSE	1090	0.48758	0.99401	1	0.51242	0.006993	0.051274	0.36533	0.022977	0.29039	576	0.37598	0.72228	1	514	0.35339	0.000999	0.030556
GO_POLY_A_MRNA_EXPORT_FROM_NUCLEUS	12	0.45594	0.49451	1	0.54406	0.50649	0.7462	0.38671	0.52947	0.81268	7	0.39879	0.65135	1	5	0.3698	0.45754	0.72575
GO_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	224	0.49247	0.91409	1	0.50753	0.086913	0.26626	0.4029	0.84715	0.94612	113	0.39325	0.8032	1	111	0.41272	0.67732	0.85777
GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	42	0.4503	0.43357	1	0.5497	0.56743	0.79505	0.34332	0.18981	0.57632	25	0.3649	0.4995	1	17	0.31159	0.12787	0.42259
GO_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY	869	0.47309	0.87912	1	0.52691	0.12188	0.32491	0.37996	0.41059	0.75827	460	0.36351	0.40759	1	409	0.39847	0.5045	0.75794
GO_CELLULAR_RESPONSE_TO_INTERLEUKIN_4	24	0.34593	0.050949	0.61751	0.65407	0.95005	1	0.31249	0.13387	0.52045	17	0.29719	0.17982	0.915	7	0.34966	0.33167	0.63677
GO_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS	36	0.59722	0.98402	1	0.40278	0.016983	0.094053	0.29571	0.047952	0.38396	15	0.38818	0.6014	1	21	0.22966	0.003996	0.073233
GO_SPERM_CAPACITATION	13	0.56037	0.86513	1	0.43963	0.13586	0.34618	0.32371	0.25175	0.64034	5	0.27779	0.28172	0.95895	8	0.35241	0.32068	0.63209
GO_POSITIVE_REGULATION_OF_TELOMERASE_ACTIVITY	27	0.34247	0.040959	0.54563	0.65753	0.96004	1	0.40228	0.63836	0.86054	18	0.31541	0.24875	0.95895	9	0.57601	0.94705	0.98526
GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION	33	0.56495	0.96004	1	0.43505	0.040959	0.16593	0.4315	0.83217	0.94027	13	0.44331	0.7972	1	20	0.42382	0.64835	0.8393
GO_CELLULAR_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS	94	0.45007	0.37063	1	0.54993	0.63037	0.84226	0.37479	0.41359	0.75965	52	0.34465	0.30769	0.95895	42	0.4121	0.61039	0.81785
GO_RESPONSE_TO_METHYLMERCURY	12	0.58637	0.90509	1	0.41363	0.095904	0.28118	0.32521	0.27972	0.66178	5	0.39754	0.6014	1	7	0.27354	0.14386	0.44491
GO_REGULATION_OF_CENTRIOLE_REPLICATION	13	0.40124	0.25574	1	0.59876	0.74525	0.9173	0.19542	0.014985	0.25275	8	0.18579	0.038961	0.66414	5	0.21084	0.097902	0.37822
GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_METABOLIC_PROCESS	19	0.54035	0.84016	1	0.45965	0.16084	0.38175	0.35111	0.34166	0.71592	9	0.40025	0.61239	1	10	0.30688	0.17183	0.48293
GO_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE	72	0.68174	1	1	0.31826	0.000999	0.013594	0.31605	0.032967	0.33086	18	0.35907	0.45954	1	54	0.30172	0.014985	0.15601
GO_CYTOKINE_PRODUCTION	116	0.51976	0.95904	1	0.48024	0.041958	0.16844	0.42652	0.94406	0.97916	56	0.44697	0.96903	1	60	0.40744	0.55145	0.78595
